"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","553","cy.tick() - move time in the browser","","Thu May 08 13:06:55 IST 2025","passed","Thu May 08 13:06:56 IST 2025","","Spies, Stubs, and Clock","",""
"","627","cy.getAllLocalStorage() - get all data in localStorage for all origins","","Thu May 08 13:07:04 IST 2025","passed","Thu May 08 13:07:05 IST 2025","","Local Storage / Session Storage","",""
"","480","Get CPU architecture name of underlying OS","Cypress APIs","Thu May 08 13:05:29 IST 2025","passed","Thu May 08 13:05:30 IST 2025","","Cypress.arch","",""
"","509",".first() - get first DOM element","","Thu May 08 13:07:18 IST 2025","passed","Thu May 08 13:07:19 IST 2025","","Traversal","",""
"","530","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","","Thu May 08 13:07:06 IST 2025","passed","Thu May 08 13:07:06 IST 2025","","Local Storage / Session Storage","",""
"","410","can check off an item as completed","","Thu May 08 13:03:58 IST 2025","passed","Thu May 08 13:03:58 IST 2025","","example to-do app","",""
"","3053","cy.request() - make an XHR request","","Thu May 08 13:06:22 IST 2025","passed","Thu May 08 13:06:25 IST 2025","","Network Requests","",""
"","423","cy.clock() - control time in the browser","","Thu May 08 13:06:55 IST 2025","passed","Thu May 08 13:06:55 IST 2025","","Spies, Stubs, and Clock","",""
"","455",".parents() - get parent DOM elements from DOM elements","","Thu May 08 13:07:22 IST 2025","passed","Thu May 08 13:07:22 IST 2025","","Traversal","",""
"","8938","Select cafe option","","Thu May 08 13:03:23 IST 2025","passed","Thu May 08 13:03:32 IST 2025","","Zepto Website Navigation","",""
"","494",".debug() - enable or disable debugging","Cypress APIs","Thu May 08 13:05:29 IST 2025","passed","Thu May 08 13:05:29 IST 2025","","Cypress.Cookies","",""
"","1642",".add() - create a custom command","Cypress APIs","Thu May 08 13:05:27 IST 2025","passed","Thu May 08 13:05:28 IST 2025","","Cypress.Commands","",""
"","598","cy.getAllCookies() - get all browser cookies","","Thu May 08 13:05:17 IST 2025","passed","Thu May 08 13:05:17 IST 2025","","Cookies","",""
"","4","Login to zepto","","Thu May 08 13:03:33 IST 2025","skipped","Thu May 08 13:03:33 IST 2025","","Zepto Website Navigation","",""
"","74","cy.stub() matches depending on arguments","","Thu May 08 13:06:56 IST 2025","passed","Thu May 08 13:06:56 IST 2025","","Spies, Stubs, and Clock","",""
"","333","Get underlying OS name","Cypress APIs","Thu May 08 13:05:32 IST 2025","passed","Thu May 08 13:05:32 IST 2025","","Cypress.platform","",""
"","335",".invoke() - invoke a function on the current subject","","Thu May 08 13:05:05 IST 2025","passed","Thu May 08 13:05:05 IST 2025","","Connectors","",""
"","666","cy.writeFile() - write to a file","","Thu May 08 13:05:42 IST 2025","passed","Thu May 08 13:05:42 IST 2025","","Files","",""
"","3453","cy.go() - go back or forward in the browser's history","","Thu May 08 13:06:09 IST 2025","passed","Thu May 08 13:06:12 IST 2025","","Navigation","",""
"","323",".nextUntil() - get next sibling DOM elements until next el","","Thu May 08 13:07:21 IST 2025","passed","Thu May 08 13:07:21 IST 2025","","Traversal","",""
"","272","Cypress.minimatch - test out glob patterns against strings","","Thu May 08 13:07:35 IST 2025","passed","Thu May 08 13:07:36 IST 2025","","Utilities","",""
"","921","cy.request() - verify response using BDD syntax","","Thu May 08 13:06:25 IST 2025","passed","Thu May 08 13:06:26 IST 2025","","Network Requests","",""
"","2621","cy.screenshot() - take a screenshot","Misc","Thu May 08 13:05:59 IST 2025","passed","Thu May 08 13:06:02 IST 2025","","Cypress.Screenshot","",""
"","892",".blur() - blur off a DOM element","","Thu May 08 13:04:16 IST 2025","passed","Thu May 08 13:04:17 IST 2025","","Actions","",""
"","83","matches call arguments using Sinon matchers","","Thu May 08 13:06:56 IST 2025","passed","Thu May 08 13:06:56 IST 2025","","Spies, Stubs, and Clock","",""
"","1371",".should() - make an assertion about the current subject","Assertions","Thu May 08 13:04:49 IST 2025","passed","Thu May 08 13:04:50 IST 2025","","Implicit Assertions","",""
"","2199",".as() - alias a route for later use","","Thu May 08 13:04:40 IST 2025","passed","Thu May 08 13:04:43 IST 2025","","Aliasing","",""
"","955","cy.request() - save response in the shared test context","","Thu May 08 13:06:29 IST 2025","passed","Thu May 08 13:06:30 IST 2025","","Network Requests","",""
"","431","assert - assert shape of an object","Assertions","Thu May 08 13:04:53 IST 2025","passed","Thu May 08 13:04:53 IST 2025","","Explicit Assertions","",""
"","1323","Cypress.Promise - instantiate a bluebird promise","","Thu May 08 13:07:36 IST 2025","passed","Thu May 08 13:07:37 IST 2025","","Utilities","",""
"","1068","cy.request() - pass result to the second request","","Thu May 08 13:06:28 IST 2025","passed","Thu May 08 13:06:29 IST 2025","","Network Requests","",""
"","227","cy.document() - get the document object","","Thu May 08 13:08:13 IST 2025","passed","Thu May 08 13:08:13 IST 2025","","Window","",""
"","8819","Should load the Zepto homepage successfully","","Thu May 08 13:03:14 IST 2025","passed","Thu May 08 13:03:22 IST 2025","","Zepto Website Navigation","",""
"","721",".focus() - focus on a DOM element","","Thu May 08 13:04:15 IST 2025","passed","Thu May 08 13:04:16 IST 2025","","Actions","",""
"","554","can filter for uncompleted tasks","example to-do app","Thu May 08 13:03:58 IST 2025","passed","Thu May 08 13:03:59 IST 2025","","with a checked task","",""
"","2142","cy.clearLocalStorage() - clear all data in localStorage for the current origin","","Thu May 08 13:07:02 IST 2025","passed","Thu May 08 13:07:04 IST 2025","","Local Storage / Session Storage","",""
"","393","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","","Thu May 08 13:07:06 IST 2025","passed","Thu May 08 13:07:07 IST 2025","","Local Storage / Session Storage","",""
"","372","Control what is printed to the Command Log","Cypress APIs","Thu May 08 13:05:31 IST 2025","passed","Thu May 08 13:05:32 IST 2025","","Cypress.log","",""
"","419","cy.root() - query the root DOM element","","Thu May 08 13:06:42 IST 2025","passed","Thu May 08 13:06:42 IST 2025","","Querying","",""
"","2112","Cypress._ - call a lodash method","","Thu May 08 13:07:32 IST 2025","passed","Thu May 08 13:07:34 IST 2025","","Utilities","",""
"","1040","Cypress.Blob - blob utilities and base64 string conversion","","Thu May 08 13:07:34 IST 2025","passed","Thu May 08 13:07:35 IST 2025","","Utilities","",""
"","285","Get environment variables","Cypress APIs","Thu May 08 13:05:31 IST 2025","passed","Thu May 08 13:05:31 IST 2025","","Cypress.env()","",""
"","418",".siblings() - get all sibling DOM elements","","Thu May 08 13:07:25 IST 2025","passed","Thu May 08 13:07:26 IST 2025","","Traversal","",""
"","361",".its() - get properties on the current subject","","Thu May 08 13:05:04 IST 2025","passed","Thu May 08 13:05:04 IST 2025","","Connectors","",""
"","608",".rightclick() - right click on a DOM element","","Thu May 08 13:04:23 IST 2025","passed","Thu May 08 13:04:24 IST 2025","","Actions","",""
"","455","cy.fixture() or require - load a fixture","","Thu May 08 13:05:41 IST 2025","passed","Thu May 08 13:05:41 IST 2025","","Files","",""
"","1852","displays two todo items by default","","Thu May 08 13:03:55 IST 2025","passed","Thu May 08 13:03:57 IST 2025","","example to-do app","",""
"","305","invokes a callback function with the current subject","Connectors","Thu May 08 13:05:05 IST 2025","passed","Thu May 08 13:05:06 IST 2025","",".then()","",""
"","1720","cy.intercept() - route responses to matching requests","","Thu May 08 13:06:30 IST 2025","passed","Thu May 08 13:06:32 IST 2025","","Network Requests","",""
"","446","cy.clearAllCookies() - clear all browser cookies","","Thu May 08 13:05:20 IST 2025","passed","Thu May 08 13:05:20 IST 2025","","Cookies","",""
"","389",".and() - chain multiple assertions together","Assertions","Thu May 08 13:04:51 IST 2025","passed","Thu May 08 13:04:51 IST 2025","","Implicit Assertions","",""
"","960","cy.getCookies() - get browser cookies for the current domain","","Thu May 08 13:05:16 IST 2025","passed","Thu May 08 13:05:16 IST 2025","","Cookies","",""
"","412","matches unknown text between two elements","Assertions","Thu May 08 13:04:52 IST 2025","passed","Thu May 08 13:04:53 IST 2025","","Explicit Assertions","",""
"","357","Cypress.$ - call a jQuery method","","Thu May 08 13:07:34 IST 2025","passed","Thu May 08 13:07:34 IST 2025","","Utilities","",""
"","1427",".select() - select an option in a <select> element","","Thu May 08 13:04:27 IST 2025","passed","Thu May 08 13:04:28 IST 2025","","Actions","",""
"","687","can filter for completed tasks","example to-do app","Thu May 08 13:03:59 IST 2025","passed","Thu May 08 13:03:59 IST 2025","","with a checked task","",""
"","401","Get current version of Cypress being run","Cypress APIs","Thu May 08 13:05:32 IST 2025","passed","Thu May 08 13:05:33 IST 2025","","Cypress.version","",""
"","301","yields the returned value to the next command","Connectors","Thu May 08 13:05:06 IST 2025","passed","Thu May 08 13:05:06 IST 2025","",".then()","",""
"","1025","cy.clearCookies() - clear browser cookies for the current domain","","Thu May 08 13:05:19 IST 2025","passed","Thu May 08 13:05:20 IST 2025","","Cookies","",""
"","1082","cy.hash() - get the current URL hash","","Thu May 08 13:05:48 IST 2025","passed","Thu May 08 13:05:49 IST 2025","","Location","",""
"","264","can throw any error","Assertions","Thu May 08 13:04:52 IST 2025","passed","Thu May 08 13:04:52 IST 2025","","Explicit Assertions","",""
"","376",".parent() - get parent DOM element from DOM elements","","Thu May 08 13:07:21 IST 2025","passed","Thu May 08 13:07:22 IST 2025","","Traversal","",""
"","278","yields the original subject without return","Connectors","Thu May 08 13:05:06 IST 2025","passed","Thu May 08 13:05:06 IST 2025","",".then()","",""
"","316","yields the value yielded by the last Cypress command inside","Connectors","Thu May 08 13:05:07 IST 2025","passed","Thu May 08 13:05:07 IST 2025","",".then()","",""
"","287",".spread() - spread an array as individual args to callback function","","Thu May 08 13:05:05 IST 2025","passed","Thu May 08 13:05:05 IST 2025","","Connectors","",""
"","378",".prevUntil() - get all previous sibling DOM elements until el","","Thu May 08 13:07:25 IST 2025","passed","Thu May 08 13:07:25 IST 2025","","Traversal","",""
"","1363","cy.wait() - wait for a specific route","","Thu May 08 13:08:03 IST 2025","passed","Thu May 08 13:08:04 IST 2025","","Waiting","",""
"","596",".closest() - get closest ancestor DOM element","","Thu May 08 13:07:15 IST 2025","passed","Thu May 08 13:07:16 IST 2025","","Traversal","",""
"","336",".nextAll() - get all next sibling DOM elements","","Thu May 08 13:07:20 IST 2025","passed","Thu May 08 13:07:20 IST 2025","","Traversal","",""
"","5834","cy.wait() - wait for a specific amount of time","","Thu May 08 13:07:56 IST 2025","passed","Thu May 08 13:08:02 IST 2025","","Waiting","",""
"","253","cy.readFile() - read file contents","","Thu May 08 13:05:41 IST 2025","passed","Thu May 08 13:05:42 IST 2025","","Files","",""
"","1430","best practices - selecting elements","","Thu May 08 13:06:42 IST 2025","passed","Thu May 08 13:06:44 IST 2025","","Querying","",""
"","13157","Fruits and Vegitables section and buy the add the items into cart and buy it ","","Thu May 08 13:03:33 IST 2025","passed","Thu May 08 13:03:46 IST 2025","","Zepto Website Navigation","",""
"","256","cy.title() - get the title","","Thu May 08 13:08:13 IST 2025","passed","Thu May 08 13:08:13 IST 2025","","Window","",""
"","2084",".each() - iterate over an array of elements","","Thu May 08 13:05:02 IST 2025","passed","Thu May 08 13:05:04 IST 2025","","Connectors","",""
"","1441",".check() - check a checkbox or radio element","","Thu May 08 13:04:24 IST 2025","passed","Thu May 08 13:04:25 IST 2025","","Actions","",""
"","863","can add new todo items","","Thu May 08 13:03:57 IST 2025","passed","Thu May 08 13:03:58 IST 2025","","example to-do app","",""
"","835",".submit() - submit a form","","Thu May 08 13:04:18 IST 2025","passed","Thu May 08 13:04:19 IST 2025","","Actions","",""
"","1978","retries the should callback until assertions pass","Assertions","Thu May 08 13:04:53 IST 2025","passed","Thu May 08 13:04:55 IST 2025","","Explicit Assertions","",""
"","1022","cy.window() - get the global window object","","Thu May 08 13:08:12 IST 2025","passed","Thu May 08 13:08:13 IST 2025","","Window","",""
"","552","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","","Thu May 08 13:07:05 IST 2025","passed","Thu May 08 13:07:06 IST 2025","","Local Storage / Session Storage","",""
"","1004","cy.fixture() - load a fixture","","Thu May 08 13:05:40 IST 2025","passed","Thu May 08 13:05:41 IST 2025","","Files","",""
"","2723","cy.getCookie() - get a browser cookie","","Thu May 08 13:05:13 IST 2025","passed","Thu May 08 13:05:15 IST 2025","","Cookies","",""
"","1763",".children() - get child DOM elements","","Thu May 08 13:07:13 IST 2025","passed","Thu May 08 13:07:15 IST 2025","","Traversal","",""
"","248","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","Thu May 08 13:06:02 IST 2025","passed","Thu May 08 13:06:02 IST 2025","","Cypress.Screenshot","",""
"","284","expect - make an assertion about a specified subject","Assertions","Thu May 08 13:04:51 IST 2025","passed","Thu May 08 13:04:51 IST 2025","","Explicit Assertions","",""
"","532",".eq() - get a DOM element at a specific index","","Thu May 08 13:07:16 IST 2025","passed","Thu May 08 13:07:16 IST 2025","","Traversal","",""
"","7315",".type() - type into a DOM element","","Thu May 08 13:04:08 IST 2025","passed","Thu May 08 13:04:15 IST 2025","","Actions","",""
"","250","cy.wrap() - wrap an object","","Thu May 08 13:05:59 IST 2025","passed","Thu May 08 13:05:59 IST 2025","","Misc","",""
"","929","cy.request() with query parameters","","Thu May 08 13:06:26 IST 2025","passed","Thu May 08 13:06:27 IST 2025","","Network Requests","",""
"","2888",".click() - click on a DOM element","","Thu May 08 13:04:19 IST 2025","passed","Thu May 08 13:04:22 IST 2025","","Actions","",""
"","274",".within() - query DOM elements within a specific element","","Thu May 08 13:06:41 IST 2025","passed","Thu May 08 13:06:42 IST 2025","","Querying","",""
"","443",".prev() - get previous sibling DOM element","","Thu May 08 13:07:23 IST 2025","passed","Thu May 08 13:07:24 IST 2025","","Traversal","",""
"","992",".dblclick() - double click on a DOM element","","Thu May 08 13:04:22 IST 2025","passed","Thu May 08 13:04:23 IST 2025","","Actions","",""
"","2298","cy.get() - query DOM elements","","Thu May 08 13:06:38 IST 2025","passed","Thu May 08 13:06:41 IST 2025","","Querying","",""
"","478",".last() - get last DOM element","","Thu May 08 13:07:19 IST 2025","passed","Thu May 08 13:07:19 IST 2025","","Traversal","",""
"","454","Get current spec information","Cypress APIs","Thu May 08 13:05:33 IST 2025","passed","Thu May 08 13:05:33 IST 2025","","Cypress.spec","",""
"","1432","cy.exec() - execute a system command","","Thu May 08 13:05:56 IST 2025","passed","Thu May 08 13:05:58 IST 2025","","Misc","",""
"","520",".trigger() - trigger an event on a DOM element","","Thu May 08 13:04:29 IST 2025","passed","Thu May 08 13:04:29 IST 2025","","Actions","",""
"","5057","cy.viewport() - set the viewport size and dimension","","Thu May 08 13:07:44 IST 2025","passed","Thu May 08 13:07:49 IST 2025","","Viewport","",""
"","280","finds element by class name regex","Assertions","Thu May 08 13:04:52 IST 2025","passed","Thu May 08 13:04:52 IST 2025","","Explicit Assertions","",""
"","2439","cy.scrollTo() - scroll the window or element to a position","","Thu May 08 13:04:29 IST 2025","passed","Thu May 08 13:04:32 IST 2025","","Actions","",""
"","465","cy.location() - get window.location","","Thu May 08 13:05:49 IST 2025","passed","Thu May 08 13:05:50 IST 2025","","Location","",""
"","476",".filter() - get DOM elements that match the selector","","Thu May 08 13:07:16 IST 2025","passed","Thu May 08 13:07:17 IST 2025","","Traversal","",""
"","431","cy.stub() - create a stub and/or replace a function with stub","","Thu May 08 13:06:54 IST 2025","passed","Thu May 08 13:06:55 IST 2025","","Spies, Stubs, and Clock","",""
"","250","cy.url() - get the current URL","","Thu May 08 13:05:50 IST 2025","passed","Thu May 08 13:05:50 IST 2025","","Location","",""
"","434",".prevAll() - get all previous sibling DOM elements","","Thu May 08 13:07:24 IST 2025","passed","Thu May 08 13:07:24 IST 2025","","Traversal","",""
"","302",".not() - remove DOM elements from set of DOM elements","","Thu May 08 13:07:21 IST 2025","passed","Thu May 08 13:07:21 IST 2025","","Traversal","",""
"","1234",".uncheck() - uncheck a checkbox element","","Thu May 08 13:04:25 IST 2025","passed","Thu May 08 13:04:27 IST 2025","","Actions","",""
"","627","can delete all completed tasks","example to-do app","Thu May 08 13:04:00 IST 2025","passed","Thu May 08 13:04:00 IST 2025","","with a checked task","",""
"","1466","cy.reload() - reload the page","","Thu May 08 13:06:12 IST 2025","passed","Thu May 08 13:06:14 IST 2025","","Navigation","",""
"","489",".parentsUntil() - get parent DOM elements from DOM elements until el","","Thu May 08 13:07:23 IST 2025","passed","Thu May 08 13:07:23 IST 2025","","Traversal","",""
"","296","pass your own callback function to should()","Assertions","Thu May 08 13:04:51 IST 2025","passed","Thu May 08 13:04:52 IST 2025","","Explicit Assertions","",""
"","1398","cy.visit() - visit a remote url","","Thu May 08 13:06:14 IST 2025","passed","Thu May 08 13:06:15 IST 2025","","Navigation","",""
"","411",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Thu May 08 13:05:30 IST 2025","passed","Thu May 08 13:05:31 IST 2025","","Cypress.dom","",""
"","1315","cy.spy() - wrap a method in a spy","","Thu May 08 13:06:50 IST 2025","passed","Thu May 08 13:06:51 IST 2025","","Spies, Stubs, and Clock","",""
"","604","cy.clearCookie() - clear a browser cookie","","Thu May 08 13:05:18 IST 2025","passed","Thu May 08 13:05:18 IST 2025","","Cookies","",""
"","828",".find() - get descendant DOM elements of the selector","","Thu May 08 13:07:17 IST 2025","passed","Thu May 08 13:07:18 IST 2025","","Traversal","",""
"","735","cy.focused() - get the DOM element that has focus","","Thu May 08 13:05:58 IST 2025","passed","Thu May 08 13:05:58 IST 2025","","Misc","",""
"","490","cy.setCookie() - set a browser cookie","","Thu May 08 13:05:17 IST 2025","passed","Thu May 08 13:05:18 IST 2025","","Cookies","",""
"","949",".as() - alias a DOM element for later use","","Thu May 08 13:04:39 IST 2025","passed","Thu May 08 13:04:40 IST 2025","","Aliasing","",""
"","421",".scrollIntoView() - scroll an element into view","","Thu May 08 13:04:28 IST 2025","passed","Thu May 08 13:04:29 IST 2025","","Actions","",""
"","390","cy.contains() - query DOM elements with matching content","","Thu May 08 13:06:41 IST 2025","passed","Thu May 08 13:06:41 IST 2025","","Querying","",""
"","430","Get and set configuration options","Cypress APIs","Thu May 08 13:05:30 IST 2025","passed","Thu May 08 13:05:30 IST 2025","","Cypress.config()","",""
"","2583","cy.spy() retries until assertions pass","","Thu May 08 13:06:51 IST 2025","passed","Thu May 08 13:06:54 IST 2025","","Spies, Stubs, and Clock","",""
"","1033",".clear() - clears an input or textarea element","","Thu May 08 13:04:17 IST 2025","passed","Thu May 08 13:04:18 IST 2025","","Actions","",""
"","330",".next() - get next sibling DOM element","","Thu May 08 13:07:20 IST 2025","passed","Thu May 08 13:07:20 IST 2025","","Traversal","",""
